vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
271,CAN AM (BRP),OUTLANDER,570,EFI 4X4,OUTLANDER 570 EFI 4X4,Max,2020,2,4-STROKE,35 KW(48 PS),AMERICA,ATV,ATV
272,CAN AM (BRP),TRAXTER,1000,HD10 4X4,TRAXTER HD10 4X4,X MR DPS,2020,2,4-STROKE,60 KW(82 PS),ALL,ATV,UTV
273,CAN AM (BRP),DS,250,2X4,DS 250 2X4,,2020,1,4-STROKE,,AMERICA,ATV,QUAD
274,CANNONDALE,CANNIIBAL,440,,CANNIBAL 440,,2004,1,4-STROKE,,ALL,ATV,QUAD
275,CANNONDALE,E,440,,E 440,,2004,1,4-STROKE,,ALL,MOTORBIKE,ENDURO
276,CANNONDALE,FX,400,,FX 400,,2005,1,4-STROKE,,ALL,ATV,QUAD
277,CANNONDALE,SPEED,440,,SPEED 440,,2006,1,4-STROKE,,ALL,ATV,QUAD
278,CECTEK,GLADIATOR,500,IX EFI 4X4,GLADIATOR 500 IX EFI 4X4,T5,2012,1,4-STROKE,15 KW(20 PS); 30 KW(41 PS),EUROPE,ATV,ATV
279,CECTEK,KINGCOBRA,500,IXD EFI 4X4,KINGCOBRA 500 IXD EFI 4X4,T5,2015,1,4-STROKE,15 KW(20 PS); 30 KW(41 PS),EUROPE,ATV,ATV
280,CF MOTO,CF,500,2 SHORT 4X4,CF 500 2 SHORT 4X4,,2008,1,4-STROKE,24 KW(33 PS),EUROPE,ATV,ATV
281,CF MOTO,CF,150,T5,CF 150 T5,E-Charm,2009,1,4-STROKE,,AMERICA,SCOOTER,SCOOTER
282,CF MOTO,CF,150,T6,CF 150 T6,Glory,2010,1,4-STROKE,"7,9 KW(10,8 PS); 8,3 KW(11,3 PS)",ALL,SCOOTER,SCOOTER
283,CF MOTO,CF,500,2 SHORT 4X4,CF 500 2 SHORT 4X4,,2010,1,4-STROKE,24 KW(33 PS),EUROPE,ATV,ATV
284,CF MOTO,CF,625,EFI 4X4,CF 625 EFI 4X4,Z6,2011,1,4-STROKE,28 KW(38 PS),ALL,ATV,SIDE BY SIDE
285,CF MOTO,RANCHER,525,EFI 4X4,RANCHER 525 EFI 4X4,,2012,1,4-STROKE,15 KW(20 PS); 24 KW(33 PS),EUROPE,ATV,ATV
286,CF MOTO,TERRALANDER,800,EFI 4X4,TERRALANDER 800 EFI 4X4,V2,2013,2,4-STROKE,15 KW(20 PS); 48 KW(65 PS),EUROPE,ATV,ATV
287,CF MOTO,TERRACROSS,625,EFI 4X4,TERRACROSS 625 EFI 4X4,Bazooka,2013,1,4-STROKE,15 KW(20 PS); 25 KW(34 PS),EUROPE,ATV,SIDE BY SIDE
288,CF MOTO,ONE,500,4X4,ONE 500 4X4,XL,2013,1,4-STROKE,15 KW(20 PS); 24 KW(33 PS),EUROPE,ATV,ATV
289,CF MOTO,CF,650,TK,CF 650 TK,,2014,2,4-STROKE,45 KW(61 PS),EUROPE,MOTORBIKE,SPORTTOURER
