vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
577,Harley Davidson,XLH,1000,,XLH 1000,Sportster,1984,2,4-STROKE,36 KW(49 PS),ALL,MOTORBIKE,NAKEDBIKE
578,Harley Davidson,FLHTC,1340,,FLHTC 1340,Electra Glide Classic,1984,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
579,Harley Davidson,FLTC,1340,,FLTC 1340,Tour Glide Classic,1985,2,4-STROKE,37 KW(50 PS); 43 KW(58 PS); 46 KW(63 PS); 47KW(64PS),ALL,MOTORBIKE,TOURER
580,Harley Davidson,FXRS,1340,,FXRS 1340,Low Glide,1985,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
581,Harley Davidson,FXST,1340,,FXST 1340,Softail,1985,2,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
582,Harley Davidson,XLS,1000,,XLS 1000,Roadster,1985,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,NAKEDBIKE
583,Harley Davidson,FXRDG,1340,EVO,FXRDG 1340,Disc Glide,1985,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
584,Harley Davidson,FLHX,1340,CARB,FLHX,Electra Glide Special,1985,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),AMERICA,MOTORBIKE,TOURER
585,Harley Davidson,FLTC,1340,,FLTC 1340,Tour Glide Classic,1986,2,4-STROKE,37 KW(50 PS); 43 KW(58 PS); 46 KW(63 PS); 47KW(64PS),ALL,MOTORBIKE,TOURER
586,Harley Davidson,FXRS,1340,,FXRS 1340,Low Rider,1986,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
587,Harley Davidson,FXSTC,1340,,FXSTC 1340,Softail Custom,1986,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
588,Harley Davidson,XLH,1100,,XLH 1100,Sportster,1986,2,4-STROKE,35 KW(48 PS); 37 KW(50 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
589,Harley Davidson,FXRS-SP,1340,,FXRS-SP 1340,Low Rider Sport Edition (Fxrsl),1986,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
590,Harley Davidson,FLHT,1340,,FLHT 1340,Electra Glide,1987,2,4-STROKE,43 KW(58 PS),ALL,MOTORBIKE,TOURER
591,Harley Davidson,FLTC,1340,,FLTC 1340,Tour Glide Classic,1987,2,4-STROKE,37 KW(50 PS); 43 KW(58 PS); 46 KW(63 PS); 47KW(64PS),ALL,MOTORBIKE,TOURER
592,Harley Davidson,FXRS,1340,,FXRS 1340,Low Rider,1987,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
593,Harley Davidson,FXST,1340,,FXST 1340,Softail,1987,2,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
594,Harley Davidson,XLH,1100,,XLH 1100,Sportster,1987,2,4-STROKE,35 KW(48 PS); 37 KW(50 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
595,Harley Davidson,XL,883,,XL 883,Sportster,1987,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
596,Harley Davidson,FLHTC,1340,,FLHTC 1340,Electra Glide Classic,1988,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
597,Harley Davidson,FLTC,1340,,FLTC 1340,Tour Glide Classic,1988,2,4-STROKE,37 KW(50 PS); 43 KW(58 PS); 46 KW(63 PS); 47KW(64PS),ALL,MOTORBIKE,TOURER
598,Harley Davidson,FXRS,1340,,FXRS 1340,Low Rider,1988,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
599,Harley Davidson,FXST,1340,,FXST 1340,Softail,1988,2,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
600,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,1988,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
601,Harley Davidson,FLHT,1340,,FLHT 1340,Electra Glide,1988,2,4-STROKE,43 KW(58 PS),ALL,MOTORBIKE,TOURER
602,Harley Davidson,FLHTC,1340,,FLHTC 1340,Electra Glide Classic,1989,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
603,Harley Davidson,FLSTC,1340,,FLSTC 1340,Heritage Softail Classic,1989,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CRUISER
604,Harley Davidson,FXLR,1340,,FXLR 1340,Low Rider Custom,1989,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
605,Harley Davidson,FXRS CON.,1340,,FXRS CON. 1340,Low Rider Convertible,1989,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
606,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,1989,2,4-STROKE,39 KW(53 PS),ALL,MOTORBIKE,NAKEDBIKE
607,Harley Davidson,XL,883,,XL 883,Sportster,1989,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
608,Harley Davidson,FLHTCU,1340,,FLHTCU 1340,Electra Glide Ultra Classic,1990,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
609,Harley Davidson,FLSTF,1340,,FLSTF 1340,Fat Boy,1990,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
610,Harley Davidson,FXRS CON.,1340,,FXRS CON. 1340,Low Rider Convertible,1990,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
611,Harley Davidson,FXST,1340,,FXST 1340,Softail,1990,2,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
612,Harley Davidson,XLH,1200,,XLH 1200,Sportster,1990,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
613,Harley Davidson,FLHS,1340,,FLHS 1340,Electra Glide Sport,1991,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
614,Harley Davidson,FLSTC,1340,,FLSTC 1340,Heritage Softail Classic,1991,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CRUISER
615,Harley Davidson,FLTCU,1340,,FLTCU 1340,Tour Glide Ultra Classic,1991,2,4-STROKE,37 KW(50 PS); 46 KW(63 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
616,Harley Davidson,FXR,1340,,FXR 1340,Super Glide,1991,2,4-STROKE,47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
617,Harley Davidson,FXRS-SP,1340,,FXRS-SP 1340,Low Rider Sport Edition (Fxrsl),1991,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
618,Harley Davidson,FXSTS,1340,,FXSTS 1340,Softail Springer,1991,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CHOPPER
619,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,1991,2,4-STROKE,39 KW(53 PS),ALL,MOTORBIKE,NAKEDBIKE
620,Harley Davidson,FLHTCU,1340,,FLHTCU 1340,Electra Glide Ultra Classic,1992,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
621,Harley Davidson,FLTCU,1340,,FLTCU 1340,Tour Glide Ultra Classic,1992,2,4-STROKE,37 KW(50 PS); 46 KW(63 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
622,Harley Davidson,FXLR,1340,,FXLR 1340,Low Rider Custom,1992,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
623,Harley Davidson,FXRS CON.,1340,,FXRS CON. 1340,Low Rider Convertible,1992,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
624,Harley Davidson,FXSTC,1340,,FXSTC 1340,Softail Custom,1992,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
625,Harley Davidson,XLH,883,,XLH 883,Sportster Deluxe,1992,2,4-STROKE,34 KW(46 PS); 35 KW(47 PS),ALL,MOTORBIKE,NAKEDBIKE
626,Harley Davidson,XL,883,,XL 883,Sportster,1992,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
627,Harley Davidson,FLHTCU,1340,,FLHTCU 1340,Electra Glide Ultra Classic,1993,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
628,Harley Davidson,FLSTN,1340,,FLSTN 1340,Heritage Softail Special/Nostalgia,1993,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
629,Harley Davidson,FXDWG,1340,,FXDWG 1340,Dyna Wide Glide,1993,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
630,Harley Davidson,FXRS CON.,1340,,FXRS CON. 1340,Low Rider Convertible,1993,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
631,Harley Davidson,FXSTS,1340,,FXSTS 1340,Softail Springer,1993,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CHOPPER
632,Harley Davidson,XLH,883,,XLH 883,Sportster,1993,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
633,Harley Davidson,FLHR,1340,,FLHR 1340,Road King,1994,2,4-STROKE,44 KW(60 PS); 46 KW(62 PS),ALL,MOTORBIKE,TOURER
634,Harley Davidson,FLSTC,1340,,FLSTC 1340,Heritage Softail Classic,1994,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CRUISER
635,Harley Davidson,FXDWG,1340,,FXDWG 1340,Dyna Wide Glide,1994,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
636,Harley Davidson,FXSTC,1340,,FXSTC 1340,Softail Custom,1994,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 43 KW(58 PS),ALL,MOTORBIKE,CHOPPER
637,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,1994,2,4-STROKE,39 KW(53 PS),ALL,MOTORBIKE,NAKEDBIKE
638,Harley Davidson,FLHS,1340,,FLHS 1340,Electra Glide Sport,1994,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
639,Harley Davidson,FLHR,1340,,FLHR 1340,Road King,1995,2,4-STROKE,44 KW(60 PS); 46 KW(62 PS),ALL,MOTORBIKE,TOURER
640,Harley Davidson,FLHTCUI,1340,EFI,FLHTCUI 1340 EFI,Electra Glide Ultra Classic Special Anniversary Edition,1995,2,4-STROKE,44 KW(60 PS),AMERICA,MOTORBIKE,TOURER
641,Harley Davidson,FLSTN,1340,,FLSTN 1340,Heritage Softail Special/Nostalgia,1995,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
642,Harley Davidson,FXDL,1340,,FXDL 1340,Dyna Low Rider,1995,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
643,Harley Davidson,FXSTSB,1340,,FXSTSB 1340,Bad Boy,1995,2,4-STROKE,37 KW(50 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
644,Harley Davidson,XLH,883,,XLH 883,Sportster,1995,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
645,Harley Davidson,XLH,1200,,XLH 1200,Sportster,1995,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
646,Harley Davidson,FLHT,1340,,FLHT 1340,Electra Glide Standard,1996,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
647,Harley Davidson,FLHTCU,1340,,FLHTCU 1340,Electra Glide Ultra Classic,1996,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
648,Harley Davidson,FLSTF,1340,,FLSTF 1340,Fat Boy,1996,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
649,Harley Davidson,FXD,1340,,FXD 1340,Dyna Super Glide,1996,2,4-STROKE,37 KW(50 PS),ALL,MOTORBIKE,CHOPPER
650,Harley Davidson,FXDWG,1340,,FXDWG 1340,Dyna Wide Glide,1996,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
651,Harley Davidson,FXSTS,1340,,FXSTS 1340,Softail Springer,1996,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CHOPPER
652,Harley Davidson,XLH,1200,,XLH 1200,Sportster,1996,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),AMERICA,MOTORBIKE,NAKEDBIKE
653,Harley Davidson,XL,883,,XL 883,Sportster,1996,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
654,Harley Davidson,FLHT,1340,,FLHT 1340,Electra Glide Standard,1997,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
655,Harley Davidson,FLHTCU,1340,,FLHTCU 1340,Electra Glide Ultra Classic,1997,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
656,Harley Davidson,FLSTF,1340,,FLSTF 1340,Fat Boy,1997,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
657,Harley Davidson,FXDL,1340,,FXDL 1340,Dyna Low Rider,1997,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
658,Harley Davidson,FXSTSB,1340,,FXSTSB 1340,Bad Boy,1997,2,4-STROKE,37 KW(50 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
659,Harley Davidson,XLH,883,,XLH 883,Sportster,1997,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
660,Harley Davidson,XL,1200,C,XL 1200 C,Sportster Custom,1997,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
661,Harley Davidson,FLHRCI,1340,EFI,FLHRCI 1340 EFI,Road King Classic,1998,2,4-STROKE,44 KW(60 PS),ALL,MOTORBIKE,TOURER
662,Harley Davidson,FLHTCI,1340,EFI,FLHTCI 1340 EFI,Electra Glide Classic,1998,2,4-STROKE,37 KW(50PS); 44 KW(60 PS); 47 KW(64 PS),ALL,MOTORBIKE,TOURER
663,Harley Davidson,FLSTF,1340,,FLSTF 1340,Fat Boy,1998,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CRUISER
664,Harley Davidson,FXD,1340,,FXD 1340,Dyna Super Glide,1998,2,4-STROKE,37 KW(50 PS),ALL,MOTORBIKE,CHOPPER
665,Harley Davidson,FXDWG,1340,,FXDWG 1340,Dyna Wide Glide,1998,2,4-STROKE,36 KW(49 PS); 41 KW(56 PS),ALL,MOTORBIKE,CHOPPER
666,Harley Davidson,FXSTS,1340,,FXSTS 1340,Softail Springer,1998,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CHOPPER
667,Harley Davidson,XLH,1200,,XLH 1200,Sportster,1998,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
668,Harley Davidson,XL,1200,S,XL 1200 S,Sport,1998,2,4-STROKE,25 KW(34 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS),ALL,MOTORBIKE,NAKEDBIKE
669,Harley Davidson,FLSTS,1340,,FLSTS 1340,Heritage Softail Springer,1999,2,4-STROKE,41 KW(56 PS),ALL,MOTORBIKE,CRUISER
670,Harley Davidson,FXSTS,1340,,FXSTS 1340,Softail Springer,1999,2,4-STROKE,33 KW(45 PS); 36 KW(49 PS); 41 KW(56 PS); 43 KW(58 PS) ,ALL,MOTORBIKE,CHOPPER
671,Harley Davidson,FLHRCI,1450,EFI,FLHRCI 1450 EFI,Road King Classic,1999,2,4-STROKE,25 KW(34 PS),ALL,MOTORBIKE,TOURER
672,Harley Davidson,FLHTCUI,1450,EFI,FLHTCUI 1450 EFI,Electra Glide Ultra Classic,1999,2,4-STROKE,52 KW(70 PS),ALL,MOTORBIKE,TOURER
673,Harley Davidson,FXD,1450,CARB,FXD 1450,Dyna Super Glide,1999,2,4-STROKE,49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,CHOPPER
674,Harley Davidson,FXDX,1450,CARB,FXDX 1450,Dyna Super Glide Sport,1999,2,4-STROKE,50 KW(68 PS),ALL,MOTORBIKE,CHOPPER
675,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,1999,2,4-STROKE,39 KW(53 PS),ALL,MOTORBIKE,NAKEDBIKE
676,Harley Davidson,XLH,1200,,XLH 1200,Sportster,1999,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
677,Harley Davidson,FXR3,1340,,FXR3 1340,Super Glide Screamin Eagle,1999,2,4-STROKE,,AMERICA,MOTORBIKE,CHOPPER
678,Harley Davidson,FLHR,1450,CARB,FLHR 1450,Road King,2000,2,4-STROKE,49 KW(67 PS); 52 KW(71 PS),ALL,MOTORBIKE,TOURER
679,Harley Davidson,FLSTC,1450,CARB,FLSTC 1450,Heritage Softail Classic,2000,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CRUISER
680,Harley Davidson,FLTR,1450,CARB,FLTR 1450,Road Glide,2000,2,4-STROKE,49 KW(67 PS); 52 KW(71 PS),AMERICA,MOTORBIKE,TOURER
681,Harley Davidson,FXDL,1450,CARB,FXDL 1450,Dyna Low Rider,2000,2,4-STROKE,49 KW(67 PS); 50 KW(68 PS); 54 KW(73 PS),ALL,MOTORBIKE,CHOPPER
682,Harley Davidson,FXST,1450,CARB,FXST 1450,Softail,2000,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
683,Harley Davidson,FXSTS,1450,CARB,FXSTS 1450,Softail Springer,2000,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
684,Harley Davidson,XLH,883,,XLH 883,Sportster Hugger,2000,2,4-STROKE,39 KW(53 PS),ALL,MOTORBIKE,NAKEDBIKE
685,Harley Davidson,XLH,1200,,XLH 1200,Sportster,2000,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),AMERICA,MOTORBIKE,NAKEDBIKE
686,Harley Davidson,FLTRSEI,1550,,FLTRSEI 1550,Road Glide Screamin Eagle,2000,2,4-STROKE,64 KW(87 PS),ALL,MOTORBIKE,TOURER
687,Harley Davidson,FLHT,1450,CARB,FLHT 1450,Electra Glide,2001,2,4-STROKE,49 KW(67 PS),ALL,MOTORBIKE,TOURER
688,Harley Davidson,FLSTCI,1450,EFI,FLSTCI 1450 EFI,Heritage Softail Classic,2001,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CRUISER
689,Harley Davidson,FLSTS,1450,CARB,FLSTS 1450,Heritage Softail Springer,2001,2,4-STROKE,49 KW(67 PS),ALL,MOTORBIKE,CRUISER
690,Harley Davidson,FLTRSEI2,1550,,FLTRSEI2 1550,Road Glide Screamin Eagle,2001,2,4-STROKE,64 KW(87 PS),AMERICA,MOTORBIKE,TOURER
691,Harley Davidson,FXDWG,1450,CARB,FXDWG 1450,Dyna Wide Glide,2001,2,4-STROKE,49 KW(67 PS); 50 KW(68 PS); 54 KW(73 PS),ALL,MOTORBIKE,CHOPPER
692,Harley Davidson,FXST,1450,CARB,FXST 1450,Softail,2001,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
693,Harley Davidson,FXSTDI,1450,EFI,FXSTDI 1450 EFI,Softail Deuce,2001,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
694,Harley Davidson,XLH,883,,XLH 883,Sportster,2001,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
695,Harley Davidson,XL,1200,C,XL 1200 C,Sportster Custom,2001,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),ALL,MOTORBIKE,NAKEDBIKE
696,Harley Davidson,FLHRI,1450,EFI,FLHRI 1450 EFI,Road King,2001,2,4-STROKE,25 KW(34 PS),ALL,MOTORBIKE,TOURER
697,Harley Davidson,FLHRCI,1450,EFI,FLHRCI 1450 EFI,Road King Classic,2002,2,4-STROKE,25 KW(34 PS),ALL,MOTORBIKE,TOURER
698,Harley Davidson,FLHTCUI,1450,EFI,FLHTCUI 1450 EFI,Electra Glide Ultra Classic,2002,2,4-STROKE,52 KW(70 PS),ALL,MOTORBIKE,TOURER
699,Harley Davidson,FLSTF,1450,CARB,FLSTF 1450,Fat Boy,2002,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CRUISER
700,Harley Davidson,FLTR,1450,CARB,FLTR 1450,Road Glide,2002,2,4-STROKE,49 KW(67 PS); 52 KW(71 PS),AMERICA,MOTORBIKE,TOURER
701,Harley Davidson,FXDL,1450,CARB,FXDL 1450,Dyna Low Rider,2002,2,4-STROKE,49 KW(67 PS); 50 KW(68 PS); 54 KW(73 PS),ALL,MOTORBIKE,CHOPPER
702,Harley Davidson,FXDXT,1450,CARB,FXDXT 1450,Dyna Super Glide T-Sport,2002,2,4-STROKE,50 KW(68 PS),ALL,MOTORBIKE,CHOPPER
703,Harley Davidson,FXSTD,1450,CARB,FXSTD 1450,Softail Deuce,2002,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
704,Harley Davidson,XLH,883,,XLH 883,Sportster,2002,2,4-STROKE,20 KW(27 PS); 24 KW(33 PS); 25 KW(34 PS); 34 KW(46 PS); 35 KW(47 PS); 36 KW(49 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
705,Harley Davidson,XL,883,R,XL 883 R,Roadster,2002,2,4-STROKE,34 KW(46 PS); 39 KW(53 PS); 40 KW(54 PS),ALL,MOTORBIKE,NAKEDBIKE
706,Harley Davidson,XLH,1200,,XLH 1200,Sportster,2002,2,4-STROKE,25 KW(34 PS); 34 KW(46 PS); 36 KW(49 PS); 37 KW(50 PS); 43 KW(58 PS); 45 KW(61 PS); 47 KW(64 PS); 49 KW(67 PS); 50 KW(68 PS),AMERICA,MOTORBIKE,NAKEDBIKE
707,Harley Davidson,FLHRI,1450,EFI,FLHRI 1450 EFI,Road King,2002,2,4-STROKE,25 KW(34 PS),ALL,MOTORBIKE,TOURER
708,Harley Davidson,FLHTC,1450,CARB,FLHTC 1450,Electra Glide Classic,2003,2,4-STROKE,49 KW(67 PS); 52 KW(71 PS),ALL,MOTORBIKE,TOURER
709,Harley Davidson,FLSTFI,1450,EFI,FLSTFI 1450 EFI,Fat Boy,2003,2,4-STROKE,25 KW(34 PS),ALL,MOTORBIKE,CRUISER
710,Harley Davidson,FLTRI,1450,EFI,FLTRI 1450 EFI,Road Glide,2003,2,4-STROKE,25 KW(34 PS),AMERICA,MOTORBIKE,TOURER
711,Harley Davidson,FXDWG,1450,CARB,FXDWG 1450,Dyna Wide Glide,2003,2,4-STROKE,49 KW(67 PS); 50 KW(68 PS); 54 KW(73 PS),ALL,MOTORBIKE,CHOPPER
712,Harley Davidson,FXST,1450,CARB,FXST 1450,Softail,2003,2,4-STROKE,46 KW(62 PS); 47 KW(64 PS),ALL,MOTORBIKE,CHOPPER
713,Harley Davidson,FXSTBI,1450,EFI,FXSTBI 1450 EFI,Softail Night Train,2003,2,4-STROKE,24 KW(33 PS); 47 KW(64 PS),AMERICA,MOTORBIKE,CHOPPER
